cartodb_id,the_geom,rang,reseau,station,trafic,correspondance_1,correspondance_2,correspondance_3,correspondance_4,correspondance_5,ville,arrondissement_pour_paris,station_name,num_correspondances
75,,222,Métro,CRETEIL-L'ECHAT,2465183,8,,,,,Créteil,,Créteil — L'Échat (Hôpital Henri Mondor),1
84,,32,Métro,PALAIS-ROYAL,7448640,1,7,,,,Paris,1,Palais Royal - Musée du Louvre,2
121,,118,Métro,LES COURTILLES,4126878,13,,,,,Asnières sur Seine,,Asnières – Gennevilliers – Les Courtilles,1
150,,20,Métro,PLACE CLICHY,9346342,2,13,,,,Paris,17,Place de Clichy,2
40,,171,Métro,BOUCICAUT,3106974,8,,,,,Paris,15,Boucicaut,1
97,,3,RER,LA DEFENSE-RER,30059436,A,,,,,Puteaux,,,1
164,,131,Métro,ANATOLE FRANCE,3801122,3,,,,,Levallois-Perret,,Anatole France,1
165,,110,Métro,ROBESPIERRE,4394418,9,,,,,Montreuil,,Robespierre,1
166,,88,Métro,CHAMPS-ELYSEES-CLEMENCEAU,4910801,1,13,,,,Paris,8,Champs-Élysées - Clemenceau,2
167,,66,Métro,COUR SAINT-EMILION,5805955,14,,,,,Paris,12,Cour Saint-Émilion,1
168,,89,Métro,PORTE DE MONTREUIL,4906785,9,,,,,Paris,20,Porte de Montreuil,1
169,,79,Métro,VOLTAIRE,5217446,9,,,,,Paris,11,Voltaire,1
183,,163,Métro,ECOLE VETERINAIRE DE MAISONS-ALFORT,3234540,8,,,,,Maisons -Alfort,,École Vétérinaire de Maisons-Alfort,1
184,,154,Métro,CORENTIN CELTON,3447242,12,,,,,Issy Les Moulineaux,,Corentin Celton,1
185,,170,Métro,CHARENTON-ECOLES,3111359,8,,,,,Charenton,,Charenton-Écoles,1
112,,142,Métro,PORTE DE LA VILLETTE,3583870,7,,,,,Paris,19,Porte de la Villette,1
186,,55,RER,SAINT-REMY-LES-CHEVREUSE,904642,B,,,,,St-Rémy-Lès-Chevreuse,,,1
187,,66,RER,LA HACQUINIERE,419554,B,,,,,Bures sur Yvette,,,1
188,,36,RER,NOGENT-SUR-MARNE,2771411,A,,,,,Nogent-sur-Marne,,Nogent-sur-Marne,1
189,,65,RER,PARC DE SCEAUX,534550,B,,,,,Antony,,Parc de Sceaux,1
190,,44,RER,ROBINSON,2057844,B,,,,,Sceaux,,Robinson,1
192,,238,Métro,MICHEL-ANGE-AUTEUIL,2172312,9,10,,,,Paris,16,Michel-Ange - Auteuil,2
193,,266,Métro,RASPAIL,1819535,4,6,,,,Paris,14,Raspail,2
194,,245,Métro,NOTRE-DAME-DES-CHAMPS,2058675,12,,,,,Paris,6,Notre-Dame des Champs,1
195,,260,Métro,PHILIPPE AUGUSTE,1883838,2,,,,,Paris,11,Philippe Auguste,1
196,,243,Métro,BREGUET-SABIN,2085448,5,,,,,Paris,11,Bréguet-Sabin,1
197,,250,Métro,SAINT-JACQUES,2030314,6,,,,,Paris,13,Saint-Jacques,1
198,,286,Métro,CAMPO-FORMIO,1280674,5,,,,,Paris,13,Campo-Formio,1
199,,284,Métro,PICPUS,1346859,6,,,,,Paris,12,Picpus,1
200,,232,Métro,VAVIN,2308243,4,,,,,Paris,14,Vavin,1
201,,258,Métro,MALAKOFF-RUE ETIENNE DOLET,1888784,13,,,,,Malakoff,,Malakoff - Rue Étienne Dolet,1
202,,20,RER,DENFERT-ROCHEREAU-RER,4332936,B,,,,,Paris,14,,1
203,,12,RER,CITE UNIVERSITAIRE,6353921,B,,,,,Paris,14,Cité Universitaire,1
204,,2,RER,GARE DE LYON-RER,36404818,A,,,,,Paris,12,,1
205,,292,Métro,BOTZARIS,996326,7bis,,,,,Paris,19,Botzaris,1
206,,299,Métro,BOLIVAR,581422,7bis,,,,,Paris,19,Bolivar,1
207,,13,RER,AUBER,6352580,A,,,,,Paris,9,Auber,1
208,,27,RER,SAINT-MAUR-CRETEIL,3605382,A,,,,,Saint-Maur des Fossés,,Saint-Maur Créteil,1
209,,10,RER,NOISY-LE-GRAND-MONT D'EST,7098238,A,,,,,Noisy-le-Grand,,,1
210,,35,RER,BUSSY-SAINT-GEORGES,2959323,A,,,,,Bussy-Saint-Georges,,,1
211,,29,RER,NANTERRE-VILLE,3469961,A,,,,,Nanterre,,Nanterre - Ville,1
212,,180,Métro,NOTRE-DAME-DE-LORETTE,3002608,12,,,,,Paris,9,Notre-Dame de Lorette,1
213,,191,Métro,ETIENNE MARCEL,2897367,4,,,,,Paris,1,Étienne Marcel,1
214,,208,Métro,VOLONTAIRES,2610342,12,,,,,Paris,15,Volontaires,1
215,,216,Métro,SOLFERINO,2534934,12,,,,,Paris,7,Solférino,1
216,,201,Métro,COURCELLES,2733589,2,,,,,Paris,17,Courcelles,1
217,,226,Métro,LOURMEL,2424840,8,,,,,Paris,15,Lourmel,1
218,,193,Métro,ROME,2892744,2,,,,,Paris,17,Rome,1
219,,177,Métro,BOULOGNE-PONT DE SAINT-CLOUD,3051796,10,,,,,Boulogne Billancourt,,Boulogne - Pont de Saint-Cloud,1
220,,214,Métro,VILLEJUIF-LEO LAGRANGE,2545252,7,,,,,Villejuif,,Villejuif - Léo Lagrange,1
221,,183,Métro,CARREFOUR PLEYEL,2987091,13,,,,,Saint Denis,,Carrefour Pleyel,1
222,,2,Métro,SAINT-LAZARE,44936936,3,9,12,13,14,Paris,8,Saint-Lazare,5
223,,21,Métro,NATION,9333662,1,2,6,9,,Paris,12,Nation,4
